ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH
2023-04-17 08:00:44,31.185015,48.757515,65.62454,123.05475,132.05162,401.39758,253.15085,174.82455,253.06958,183.6996
2023-04-17 08:00:45,31.185875,48.7469,65.47682,121.94104,130.04686,401.1046,252.49707,174.6896,252.92702,183.74051
2023-04-17 08:00:46,31.180553,48.74471,65.47689,121.06852,128.52066,400.50656,252.40164,175.05272,252.66173,183.76347
2023-04-17 08:00:47,31.18199,48.74272,65.3183,120.12302,126.92591,400.14832,252.25037,175.5191,252.67844,183.74179
2023-04-17 08:00:48,31.188133,48.74821,65.3808,119.397964,126.28999,399.78412,252.07234,175.67703,252.68233,183.84685
2023-04-17 08:00:49,31.184406,48.750538,65.163795,118.687546,125.10677,399.12674,252.07362,176.0972,252.5188,183.79811
2023-04-17 08:00:50,31.183086,48.75217,65.26008,117.76701,124.08002,399.04385,252.02354,176.29622,252.4058,183.80237
2023-04-17 08:00:51,31.19337,48.78329,66.19168,126.63243,138.01883,403.79462,256.35767,174.4633,254.32822,185.52298
2023-04-17 08:00:52,31.195528,48.783054,66.20121,125.72636,136.35909,403.40598,255.50621,174.66322,254.0415,185.42725
2023-04-17 08:00:53,31.196781,48.77699,65.96622,124.510544,134.31065,403.226,254.91393,174.96423,253.74902,185.57948
2023-04-17 08:00:54,31.195707,48.78347,65.83944,123.3489,132.3265,402.7696,254.24706,175.1877,253.55016,185.40898
2023-04-17 08:00:55,31.196583,48.773247,65.69831,122.26564,130.37563,402.4909,253.59998,175.05101,253.41554,185.45241
2023-04-17 08:00:56,31.191265,48.77135,65.704346,121.42107,128.89096,401.9165,253.50508,175.41101,253.15755,185.47581
2023-04-17 08:00:57,31.192673,48.769623,65.54811,120.49838,127.335464,401.57584,253.35976,175.87718,253.1807,185.45786
2023-04-17 08:00:58,31.19884,48.775253,65.60865,119.79919,126.724396,401.22867,253.18639,176.03398,253.18733,185.56334
2023-04-17 08:00:59,31.195122,48.777824,65.400085,119.1112,125.58112,400.59875,253.18425,176.4451,253.02832,185.51662
2023-04-17 08:01:00,31.19381,48.7795,65.4968,118.215256,124.57236,400.5318,253.13611,176.64569,252.92018,185.52243
2023-04-17 08:01:01,31.205528,48.800587,66.414,126.857765,138.18535,405.21237,257.39645,174.78606,254.77577,187.18538
2023-04-17 08:01:02,31.20767,48.800594,66.41927,125.96209,136.54593,404.82495,256.56445,174.98622,254.49765,187.0903
2023-04-17 08:01:03,31.208921,48.794785,66.18396,124.76447,134.52321,404.64288,255.98358,175.28096,254.2116,187.2411
2023-04-17 08:01:04,31.20784,48.801388,66.05311,123.621704,132.5724,404.1892,255.32442,175.49716,254.01813,187.07114
2023-04-17 08:01:05,31.208708,48.791492,65.91266,122.55885,130.66289,403.91202,254.68253,175.35988,253.88734,187.11371
2023-04-17 08:01:06,31.20341,48.78982,65.91767,121.7327,129.21823,403.3478,254.5886,175.716,253.63237,187.1336
