ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph
2023-04-24 00:00:00,28.4,45.4,25,41,51,444,230,140,166,175,12,Kitchen window,H2,XXXX
2023-04-24 00:00:02,28.4,45.4,25,41,51,444,228,139,165,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:03,28.4,45.4,25,41,50,444,228,139,166,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:04,28.4,45.5,25,41,50,444,229,140,165,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:05,28.3,45.4,25,41,50,444,228,139,164,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:06,28.4,45.5,26,40,48,444,229,140,165,175,12,Kitchen window,H2,XXXX
2023-04-24 00:00:07,28.4,45.4,26,40,48,444,229,140,165,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:08,28.3,45.4,27,41,50,443,228,139,164,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:09,28.4,45.4,27,41,50,443,228,140,163,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:10,28.3,45.4,27,41,50,443,225,139,163,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:11,28.4,45.4,27,40,49,443,225,140,163,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:13,28.4,45.5,27,40,47,443,224,140,162,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:14,28.4,45.4,27,40,47,443,222,139,162,174,12,Kitchen window,H2,XXXX
2023-04-24 00:00:15,28.4,45.4,27,41,48,443,221,140,161,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:16,28.4,45.4,27,40,49,443,219,139,160,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:17,28.4,45.4,27,41,50,443,219,141,160,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:18,28.4,45.4,26,40,49,443,219,140,160,173,12,Kitchen window,H2,XXXX
2023-04-24 00:00:19,28.4,45.4,26,40,49,443,218,139,159,173,12,Kitchen window,H2,XXXX
